  n  a         b         root      error   
  1  1.000000  2.000000  1.500000  0.500000
  2  1.000000  1.500000  1.250000  0.333333
  3  1.250000  1.500000  1.375000  0.166667
  4  1.250000  1.375000  1.312500  0.090909
  5  1.312500  1.375000  1.343750  0.045455
  6  1.343750  1.375000  1.359375  0.022727
  7  1.359375  1.375000  1.367188  0.011364
  8  1.359375  1.367188  1.363281  0.005714
  9  1.363281  1.367188  1.365234  0.002857
 10  1.363281  1.365234  1.364258  0.001431
 11  1.364258  1.365234  1.364746  0.000715
 12  1.364746  1.365234  1.364990  0.000358
 13  1.364990  1.365234  1.365112  0.000179
 14  1.365112  1.365234  1.365173  0.000089
