n        a        b     root    error
1 1.000000 2.000000 1.500000 0.500000
2 1.500000 2.000000 1.750000 0.250000
3 1.750000 2.000000 1.875000 0.125000
4 1.875000 2.000000 1.937500 0.062500
5 1.937500 2.000000 1.968750 0.031250
6 1.968750 2.000000 1.984375 0.015625
7 1.984375 2.000000 1.992188 0.007813
8 1.992188 2.000000 1.996094 0.003906
9 1.996094 2.000000 1.998047 0.001953
10 1.998047 2.000000 1.999023 0.000977
11 1.999023 2.000000 1.999512 0.000488
12 1.999512 2.000000 1.999756 0.000244
13 1.999756 2.000000 1.999878 0.000122
14 1.999878 2.000000 1.999939 0.000061
15 1.999939 2.000000 1.999969 0.000031
16 1.999969 2.000000 1.999985 0.000015
17 1.999985 2.000000 1.999992 0.000008
