n a        b        root     error   
1 1.000000 2.000000 1.500000 0.500000
2 1.500000 2.000000 1.750000 0.250000
3 1.750000 2.000000 1.875000 0.125000
4 1.750000 1.875000 1.812500 0.066667
5 1.812500 1.875000 1.843750 0.033333
6 1.812500 1.843750 1.828125 0.016949
7 1.828125 1.843750 1.835938 0.008475
8 1.828125 1.835938 1.832031 0.004255
9 1.828125 1.832031 1.830078 0.002132
10 1.828125 1.830078 1.829102 0.001067
11 1.829102 1.830078 1.829590 0.000534
12 1.829102 1.829590 1.829346 0.000267
13 1.829346 1.829590 1.829468 0.000133
14 1.829346 1.829468 1.829407 0.000067
15 1.829346 1.829407 1.829376 0.000033
16 1.829376 1.829407 1.829391 0.000017
17 1.829376 1.829391 1.829384 0.000008
